"","year","race_new","ca_18_to_25_race_total","ca_18_to_25_pop","ca_18_to_25_share"
"1",2000,"African American",234708,3606283,0.0650830786158491
"2",2000,"American Indian",18205,3606283,0.00504813404827075
"3",2000,"Asian/Pacific Islander",453013,3606283,0.125617706652528
"4",2000,"Hispanic/Latino",1512738,3606283,0.419472903263554
"5",2000,"Other",109879,3606283,0.0304687679807713
"6",2000,"White",1277740,3606283,0.354309409439026
"7",2001,"African American",220263,3638228,0.0605412854829329
"8",2001,"American Indian",14577,3638228,0.00400662080551301
"9",2001,"Asian/Pacific Islander",419810,3638228,0.115388590269769
"10",2001,"Hispanic/Latino",1610929,3638228,0.442778462482285
"11",2001,"Other",89101,3638228,0.024490218864788
"12",2001,"White",1283548,3638228,0.352794822094712
"13",2002,"African American",220502,3770280,0.0584842505065937
"14",2002,"American Indian",14794,3770280,0.00392384650476888
"15",2002,"Asian/Pacific Islander",437479,3770280,0.116033557189386
"16",2002,"Hispanic/Latino",1672708,3770280,0.443656174077257
"17",2002,"Other",106224,3770280,0.0281740348196951
"18",2002,"White",1318573,3770280,0.349728136902299
"19",2003,"African American",224217,3822964,0.0586500422185508
"20",2003,"American Indian",11128,3822964,0.00291083044464975
"21",2003,"Asian/Pacific Islander",465633,3822964,0.121798949715456
"22",2003,"Hispanic/Latino",1698366,3822964,0.444253725643244
"23",2003,"Other",86067,3822964,0.0225131599460523
"24",2003,"White",1337553,3822964,0.349873292032046
"25",2004,"African American",222718,3798478,0.0586334842534299
"26",2004,"American Indian",18893,3798478,0.00497383425677337
"27",2004,"Asian/Pacific Islander",459496,3798478,0.120968451048025
"28",2004,"Hispanic/Latino",1665976,3798478,0.438590403840696
"29",2004,"Other",86356,3798478,0.0227343688709004
"30",2004,"White",1345039,3798478,0.354099457730175
"31",2005,"African American",240553,3873606,0.0621005337145802
"32",2005,"American Indian",17959,3873606,0.00463624849816941
"33",2005,"Asian/Pacific Islander",474854,3873606,0.122587067450846
"34",2005,"Hispanic/Latino",1679624,3873606,0.433607341583011
"35",2005,"Other",98818,3873606,0.02551059658623
"36",2005,"White",1361798,3873606,0.351558212167164
"37",2006,"African American",286040,4354580,0.0656871615632277
"38",2006,"American Indian",22906,4354580,0.00526020879166303
"39",2006,"Asian/Pacific Islander",509203,4354580,0.116935043104042
"40",2006,"Hispanic/Latino",1826140,4354580,0.419360764987668
"41",2006,"Other",125899,4354580,0.0289118583192868
"42",2006,"White",1584392,4354580,0.363844963234112
"43",2007,"African American",293679,4432124,0.0662614583887996
"44",2007,"American Indian",22223,4432124,0.00501407451596571
"45",2007,"Asian/Pacific Islander",517961,4432124,0.116865186984841
"46",2007,"Hispanic/Latino",1841729,4432124,0.415540946056563
"47",2007,"Other",124625,4432124,0.0281185724948129
"48",2007,"White",1631907,4432124,0.368199761559018
"49",2008,"African American",311026,4443929,0.0699889669704444
"50",2008,"American Indian",23882,4443929,0.00537407325814611
"51",2008,"Asian/Pacific Islander",517183,4443929,0.116379672132476
"52",2008,"Hispanic/Latino",1829913,4443929,0.411778180974538
"53",2008,"Other",129580,4443929,0.0291588817013053
"54",2008,"White",1632345,4443929,0.36732022496309
"55",2009,"African American",284289,4316409,0.065862386998081
"56",2009,"American Indian",22380,4316409,0.00518486547498163
"57",2009,"Asian/Pacific Islander",482848,4316409,0.111863356785698
"58",2009,"Hispanic/Latino",1864140,4316409,0.431872883223068
"59",2009,"Other",130123,4316409,0.0301461237802071
"60",2009,"White",1532629,4316409,0.355070383737964
"61",2010,"African American",278680,4504421,0.0618681069109659
"62",2010,"American Indian",18090,4504421,0.00401605444961739
"63",2010,"Asian/Pacific Islander",562017,4504421,0.124770086987873
"64",2010,"Hispanic/Latino",2017661,4504421,0.447929045708649
"65",2010,"Other",142279,4504421,0.0315865235509736
"66",2010,"White",1485694,4504421,0.329830182391921
"67",2011,"African American",279426,4568227,0.0611672756191844
"68",2011,"American Indian",18090,4568227,0.00395996083382021
"69",2011,"Asian/Pacific Islander",570163,4568227,0.124810566550217
"70",2011,"Hispanic/Latino",2068746,4568227,0.45285534190836
"71",2011,"Other",153046,4568227,0.0335022756093338
"72",2011,"White",1478756,4568227,0.323704579479085
"73",2012,"African American",279279,4618575,0.0604686510449652
"74",2012,"American Indian",13881,4618575,0.00300547246715708
"75",2012,"Asian/Pacific Islander",574546,4618575,0.124398975874593
"76",2012,"Hispanic/Latino",2103779,4618575,0.455503916251225
"77",2012,"Other",170580,4618575,0.0369334697390429
"78",2012,"White",1476510,4618575,0.319689514623017
"79",2013,"African American",301481,4628588,0.065134550752843
"80",2013,"American Indian",17262,4628588,0.00372943109216029
"81",2013,"Asian/Pacific Islander",569876,4628588,0.123120917221407
"82",2013,"Hispanic/Latino",2124652,4628588,0.459028109652447
"83",2013,"Other",165433,4628588,0.0357415695672201
"84",2013,"White",1449884,4628588,0.313245421713922
"85",2014,"African American",277653,4618172,0.0601218404165111
"86",2014,"American Indian",16650,4618172,0.00360532262548905
"87",2014,"Asian/Pacific Islander",588178,4618172,0.127361648721615
"88",2014,"Hispanic/Latino",2142972,4618172,0.464030356599971
"89",2014,"Other",178725,4618172,0.0387003775519838
"90",2014,"White",1413994,4618172,0.30618045408443
"91",2015,"African American",283807,4586402,0.0618800968602403
"92",2015,"American Indian",17213,4586402,0.00375305086645261
"93",2015,"Asian/Pacific Islander",593697,4586402,0.129447222463273
"94",2015,"Hispanic/Latino",2159365,4586402,0.470818955686833
"95",2015,"Other",163321,4586402,0.0356098309742583
"96",2015,"White",1368999,4586402,0.298490843148943
"97",2016,"African American",269662,4508701,0.0598092443921209
"98",2016,"American Indian",16440,4508701,0.00364628304249938
"99",2016,"Asian/Pacific Islander",579711,4508701,0.128576057715959
"100",2016,"Hispanic/Latino",2137156,4508701,0.474007036616533
"101",2016,"Other",177739,4508701,0.0394213322196349
"102",2016,"White",1327993,4508701,0.294540046013253
"103",2017,"African American",258380,4456008,0.0579846355751605
"104",2017,"American Indian",13982,4456008,0.00313778610810394
"105",2017,"Asian/Pacific Islander",581661,4456008,0.130534101375042
"106",2017,"Hispanic/Latino",2130313,4456008,0.478076565392163
"107",2017,"Other",188865,4456008,0.0423843493997318
"108",2017,"White",1282807,4456008,0.287882562149799
"109",2018,"African American",257201,4368636,0.0588744404431955
"110",2018,"American Indian",15946,4368636,0.00365010955364558
"111",2018,"Asian/Pacific Islander",590487,4368636,0.13516507211862
"112",2018,"Hispanic/Latino",2093715,4368636,0.479260574696541
"113",2018,"Other",178085,4368636,0.0407644399762306
"114",2018,"White",1233202,4368636,0.282285363211767
