"","year","race_new","total_race","total_acs_pop","share_race"
"1","1990","American Indian",242164,39323050,0.006158322
"2","1990","African American",2208801,39323050,0.056170643
"3","1990","Asian/Pacific Islander",2845659,39323050,0.072366182
"4","1990","Other",5814161,39323050,0.147856308
"5","1990","Hispanic/Latino",7687938,39323050,0.195507164
"6","1990","White",20524327,39323050,0.52194138
"7","1991","American Indian",242164,39323050,0.006245532
"8","1991","African American",2208801,39323050,0.056911043
"9","1991","Asian/Pacific Islander",2845659,39323050,0.076541162
"10","1991","Other",5814161,39323050,0.135654768
"11","1991","Hispanic/Latino",7687938,39323050,0.207814574
"12","1991","White",20524327,39323050,0.51683292
"13","1992","American Indian",242164,39323050,0.006332742
"14","1992","African American",2208801,39323050,0.057651443
"15","1992","Asian/Pacific Islander",2845659,39323050,0.080716142
"16","1992","Other",5814161,39323050,0.123453228
"17","1992","Hispanic/Latino",7687938,39323050,0.220121984
"18","1992","White",20524327,39323050,0.51172446
"19","1993","American Indian",242164,39323050,0.006419952
"20","1993","African American",2208801,39323050,0.058391843
"21","1993","Asian/Pacific Islander",2845659,39323050,0.084891122
"22","1993","Other",5814161,39323050,0.111251688
"23","1993","Hispanic/Latino",7687938,39323050,0.232429394
"24","1993","White",20524327,39323050,0.506616
"25","1994","American Indian",242164,39323050,0.006507162
"26","1994","African American",2208801,39323050,0.059132243
"27","1994","Asian/Pacific Islander",2845659,39323050,0.089066102
"28","1994","Other",5814161,39323050,0.099050148
"29","1994","Hispanic/Latino",7687938,39323050,0.244736804
"30","1994","White",20524327,39323050,0.50150754
"31","1995","American Indian",242164,39323050,0.006594372
"32","1995","African American",2208801,39323050,0.059872643
"33","1995","Asian/Pacific Islander",2845659,39323050,0.093241082
"34","1995","Other",5814161,39323050,0.086848608
"35","1995","Hispanic/Latino",7687938,39323050,0.257044214
"36","1995","White",20524327,39323050,0.49639908
"37","1996","American Indian",242164,39323050,0.006681582
"38","1996","African American",2208801,39323050,0.060613043
"39","1996","Asian/Pacific Islander",2845659,39323050,0.097416062
"40","1996","Other",5814161,39323050,0.074647068
"41","1996","Hispanic/Latino",7687938,39323050,0.269351624
"42","1996","White",20524327,39323050,0.49129062
"43","1997","American Indian",242164,39323050,0.006768792
"44","1997","African American",2208801,39323050,0.061353443
"45","1997","Asian/Pacific Islander",2845659,39323050,0.101591042
"46","1997","Other",5814161,39323050,0.062445528
"47","1997","Hispanic/Latino",7687938,39323050,0.281659034
"48","1997","White",20524327,39323050,0.48618216
"49","1998","American Indian",242164,39323050,0.006856002
"50","1998","African American",2208801,39323050,0.062093843
"51","1998","Asian/Pacific Islander",2845659,39323050,0.105766022
"52","1998","Other",5814161,39323050,0.050243988
"53","1998","Hispanic/Latino",7687938,39323050,0.293966444
"54","1998","White",20524327,39323050,0.4810737
"55","1999","American Indian",242164,39323050,0.006943212
"56","1999","African American",2208801,39323050,0.062834243
"57","1999","Asian/Pacific Islander",2845659,39323050,0.109941002
"58","1999","Other",5814161,39323050,0.038042448
"59","1999","Hispanic/Latino",7687938,39323050,0.306273854
"60","1999","White",20524327,39323050,0.47596524
"61","2000","White",15579263,33087051,0.470856801351078
"62","2000","Hispanic/Latino",10540913,33087051,0.318581217770058
"63","2000","Asian/Pacific Islander",3775762,33087051,0.11411600266219
"64","2000","African American",2103496,33087051,0.0635745990176036
"65","2000","Other",855000,33087051,0.025840924898384
"66","2000","American Indian",232617,33087051,0.007030454300687
"67","2001","African American",2053529,33713792,0.0609106504542711
"68","2001","White",15512275,33713792,0.460116589673449
"69","2001","Hispanic/Latino",11353763,33713792,0.336769088449024
"70","2001","Asian/Pacific Islander",3797129,33713792,0.112628356964414
"71","2001","Other",852278,33713792,0.0252798024025301
"72","2001","American Indian",144818,33713792,0.00429551205631215
"73","2002","White",15509528,34325414,0.451838046294212
"74","2002","Asian/Pacific Islander",4111878,34325414,0.119791067924192
"75","2002","Hispanic/Latino",11649621,34325414,0.33938763273183
"76","2002","African American",2022983,34325414,0.0589354290089553
"77","2002","Other",887361,34325414,0.0258514289150307
"78","2002","American Indian",144043,34325414,0.00419639512578057
"79","2003","Hispanic/Latino",11979657,34644509,0.34578804392927
"80","2003","White",15521082,34644509,0.448009870770574
"81","2003","Asian/Pacific Islander",4181985,34644509,0.120711336968291
"82","2003","African American",2076145,34644509,0.0599271012904238
"83","2003","Other",721548,34644509,0.0208271965984566
"84","2003","American Indian",164092,34644509,0.00473645044298362
"85","2004","Hispanic/Latino",12246380,35057375,0.349323929700954
"86","2004","White",15488560,35057375,0.441806039385436
"87","2004","Asian/Pacific Islander",4300320,35057375,0.122665202400351
"88","2004","Other",743258,35057375,0.0212011880524426
"89","2004","African American",2104986,35057375,0.0600440278258141
"90","2004","American Indian",173871,35057375,0.00495961263500191
"91","2005","Asian/Pacific Islander",4432957,35340566,0.125435370786082
"92","2005","Hispanic/Latino",12534628,35340566,0.354681020105903
"93","2005","Other",816327,35340566,0.0230988660453259
"94","2005","White",15296566,35340566,0.432833079130651
"95","2005","African American",2094286,35340566,0.0592601148493207
"96","2005","American Indian",165802,35340566,0.00469154908271701
"97","2006","Hispanic/Latino",13087981,36457549,0.358992344767883
"98","2006","White",15585096,36457549,0.427486115427013
"99","2006","African American",2209315,36457549,0.0605996579748134
"100","2006","Asian/Pacific Islander",4544025,36457549,0.124638795657931
"101","2006","Other",867779,36457549,0.023802450351229
"102","2006","American Indian",163353,36457549,0.00448063582112994
"103","2007","Hispanic/Latino",13219347,36553215,0.361646629441487
"104","2007","White",15512574,36553215,0.424383299800031
"105","2007","Other",884084,36553215,0.0241862172725436
"106","2007","Asian/Pacific Islander",4564099,36553215,0.124861766605208
"107","2007","African American",2201492,36553215,0.0602270415885443
"108","2007","American Indian",171619,36553215,0.00469504529218565
"109","2008","White",15452381,36756666,0.420396697567728
"110","2008","African American",2191268,36756666,0.0596155266095135
"111","2008","Asian/Pacific Islander",4601761,36756666,0.125195277504222
"112","2008","Hispanic/Latino",13434896,36756666,0.365509102484975
"113","2008","Other",917692,36756666,0.024966682233911
"114","2008","American Indian",158668,36756666,0.0043167135996502
"115","2009","White",15325814,36961664,0.414640801885976
"116","2009","Hispanic/Latino",13682187,36961664,0.370172376438463
"117","2009","African American",2155298,36961664,0.0583117145375273
"118","2009","Asian/Pacific Islander",4687038,36961664,0.126808089592503
"119","2009","Other",956062,36961664,0.0258663138109799
"120","2009","American Indian",155265,36961664,0.00420070373455048
"121","2010","Hispanic/Latino",14091992,37349363,0.377302070720724
"122","2010","White",14949422,37349363,0.400259088756079
"123","2010","Asian/Pacific Islander",4975618,37349363,0.133218282732158
"124","2010","African American",2156811,37349363,0.0577469286423975
"125","2010","Other",1024211,37349363,0.0274224489451132
"126","2010","American Indian",151309,37349363,0.0040511802035285
"127","2011","Hispanic/Latino",14358393,37691912,0.380940956245467
"128","2011","Asian/Pacific Islander",5047653,37691912,0.133918730363161
"129","2011","White",14915716,37691912,0.395727231879349
"130","2011","African American",2152501,37691912,0.0571077689027821
"131","2011","Other",1071233,37691912,0.0284207657069771
"132","2011","American Indian",146416,37691912,0.00388454690226381
"133","2012","White",14904694,38041430,0.391801622599361
"134","2012","Hispanic/Latino",14539578,38041430,0.382203770993887
"135","2012","Asian/Pacific Islander",5157728,38041430,0.135581864299002
"136","2012","Other",1143309,38041430,0.0300543118384351
"137","2012","African American",2150597,38041430,0.05653302202362
"138","2012","American Indian",145524,38041430,0.00382540824569423
"139","2013","White",14890655,38332521,0.388460101541456
"140","2013","African American",2167983,38332521,0.056557276783335
"141","2013","Hispanic/Latino",14716321,38332521,0.383912161686418
"142","2013","Asian/Pacific Islander",5261419,38332521,0.137257317357238
"143","2013","Other",1159390,38332521,0.0302455974654002
"144","2013","American Indian",136753,38332521,0.00356754516615278
"145","2014","White",14851728,38802500,0.382751833000451
"146","2014","Hispanic/Latino",14990679,38802500,0.386332813607371
"147","2014","Asian/Pacific Islander",5445501,38802500,0.140338921461246
"148","2014","Other",1238934,38802500,0.0319292313639585
"149","2014","African American",2142698,38802500,0.0552206172282714
"150","2014","American Indian",132960,38802500,0.0034265833387024
"151","2015","Hispanic/Latino",15184905,39144818,0.387916096582695
"152","2015","White",14814590,39144818,0.378455968297004
"153","2015","Asian/Pacific Islander",5596071,39144818,0.142958156045073
"154","2015","African American",2184604,39144818,0.0558082553864473
"155","2015","Other",1228796,39144818,0.031391026010135
"156","2015","American Indian",135852,39144818,0.00347049767864549
"157","2016","Other",1321757,39250017,0.0336753229941276
"158","2016","Hispanic/Latino",15280629,39250017,0.389315219914427
"159","2016","White",14728382,39250017,0.375245238747285
"160","2016","Asian/Pacific Islander",5629487,39250017,0.143426358261195
"161","2016","American Indian",126998,39250017,0.00323561643298142
"162","2016","African American",2162764,39250017,0.0551022436499836
"163","2017","Other",1368804,39536653,0.0346211400342867
"164","2017","Asian/Pacific Islander",5771565,39536653,0.14598011116419
"165","2017","White",14614060,39536653,0.36963321098526
"166","2017","Hispanic/Latino",15476396,39536653,0.39144426312465
"167","2017","African American",2162724,39536653,0.0547017472622177
"168","2017","American Indian",143104,39536653,0.00361952742939571
"169","2018","Hispanic/Latino",15540503,39557045,0.392863091770379
"170","2018","Other",1357353,39557045,0.0343138118633482
"171","2018","White",14497300,39557045,0.36649097524853
"172","2018","Asian/Pacific Islander",5855421,39557045,0.148024732383321
"173","2018","African American",2178408,39557045,0.0550700387250868
"174","2018","American Indian",128060,39557045,0.00323735000933462
